x,y,r,thet
-172.5151224,384.022898,420.9929377,1.99202555
-175.150482,384.4013639,422.4240759,1.997349239
-177.7884016,384.7617966,423.8518089,2.002660157
-180.4287529,385.1041774,425.2761013,2.007958454
-183.0714072,385.4284886,426.6969181,2.013244277
-185.7162357,385.7347135,428.1142247,2.018517771
-188.3631096,386.0228366,429.5279868,2.02377908
-191.0119,386.292843,430.9381702,2.029028344
-193.6624778,386.5447192,432.3447413,2.034265702
-196.314714,386.7784525,433.7476666,2.039491291
-198.9684792,386.9940312,435.146913,2.044705245
-201.6236443,387.1914445,436.5424477,2.049907698
-204.2800797,387.3706829,437.9342382,2.05509878
-206.9376562,387.5317377,439.3222522,2.06027862
-209.5962443,387.6746012,440.7064579,2.065447344
-212.2557143,387.7992666,442.0868234,2.070605078
-214.9159367,387.9057284,443.4633175,2.075751945
-217.5767819,387.9939819,444.8359091,2.080888067
-220.2381202,388.0640233,446.2045672,2.086013562
-222.899822,388.1158501,447.5692614,2.091128548
-225.5617574,388.1494605,448.9299612,2.096233142
-228.2237969,388.1648539,450.2866368,2.101327458
-230.8858107,388.1620305,451.6392582,2.106411608
-233.547669,388.1409919,452.9877959,2.111485704
-236.209242,388.1017402,454.3322207,2.116549853
-238.8704002,388.0442789,455.6725035,2.121604165
-241.5310138,387.9686123,457.0086156,2.126648744
-244.1909531,387.8747457,458.3405283,2.131683697
-246.8500884,387.7626855,459.6682134,2.136709124
-249.5082902,387.6324392,460.9916428,2.141725127
-252.1654289,387.484015,462.3107887,2.146731807
-254.8213749,387.3174224,463.6256235,2.151729261
-257.4759988,387.1326717,464.9361197,2.156717587
-260.1291711,386.9297744,466.2422503,2.161696879
-262.7807626,386.7087429,467.5439883,2.166667231
-265.4306439,386.4695905,468.841307,2.171628736
-268.0786859,386.2123319,470.1341799,2.176581484
-270.7247595,385.9369823,471.4225808,2.181525566
-273.3687356,385.6435583,472.7064837,2.186461069
-276.0104854,385.3320774,473.9858625,2.19138808
-278.6498799,385.002558,475.2606919,2.196306685
-281.2867906,384.6550197,476.5309463,2.201216968
-283.9210889,384.289483,477.7966005,2.206119012
-286.5526462,383.9059694,479.0576295,2.211012898
-289.1813343,383.5045016,480.3140086,2.215898706
-291.8070249,383.0851031,481.565713,2.220776516
-294.42959,382.6477985,482.8127185,2.225646405
-297.0489017,382.1926135,484.0550009,2.230508449
-299.6648323,381.7195748,485.292536,2.235362725
-302.2772541,381.2287101,486.5253002,2.240209305
-304.8860397,380.7200481,487.7532698,2.245048262
-307.4910618,380.1936185,488.9764213,2.249879668
-310.0921934,379.6494521,490.1947316,2.254703594
-312.6893076,379.0875809,491.4081777,2.259520108
-315.2822776,378.5080376,492.6167366,2.264329278
-317.8709771,377.9108562,493.8203856,2.269131172
-320.4552795,377.2960716,495.0191025,2.273925854
-323.0350589,376.6637198,496.2128647,2.27871339
-325.6101893,376.0138379,497.4016503,2.283493842
-328.1805452,375.346464,498.5854373,2.288267273
-330.7460009,374.6616372,499.7642039,2.293033744
-333.3064314,373.9593977,500.9379287,2.297793314
-335.8617117,373.2397869,502.1065902,2.302546043
-338.4117169,372.502847,503.2701672,2.307291988
-340.9563227,371.7486214,504.4286387,2.312031205
-343.4954048,370.9771546,505.5819839,2.316763751
-346.0288393,370.1884923,506.7301821,2.321489679
-348.5565023,369.3826809,507.8732128,2.326209042
-351.0782706,368.5597683,509.0110557,2.330921893
-353.5940209,367.7198031,510.1436908,2.335628282
-356.1036304,366.8628355,511.271098,2.34032826
-358.6069765,365.9889162,512.3932576,2.345021875
-361.1039369,365.0980976,513.5101499,2.349709174
-363.5943896,364.1904327,514.6217557,2.354390204
-366.0782129,363.2659759,515.7280555,2.359065011
-368.5552855,362.3247828,516.8290304,2.363733638
-371.0254863,361.3669098,517.9246615,2.368396129
-373.4886945,360.3924149,519.0149301,2.373052526
-375.9447898,359.4013568,520.0998176,2.377702869
-378.393652,358.3937956,521.1793056,2.382347198
-380.8351615,357.3697927,522.2533762,2.386985552
-383.2691988,356.3294103,523.3220111,2.391617967
-385.6956448,355.2727121,524.3851928,2.396244481
-388.114381,354.1997629,525.4429034,2.400865127
-390.5252888,353.1106287,526.4951256,2.405479939
-392.9282505,352.0053767,527.5418422,2.410088951
-395.3231482,350.8840756,528.5830361,2.414692192
-397.7098648,349.7467949,529.6186903,2.419289693
-400.0882835,348.5936057,530.6487883,2.423881483
-402.4582877,347.4245804,531.6733136,2.428467588
-404.8197614,346.2397925,532.6922499,2.433048036
-407.1725888,345.0393169,533.7055811,2.437622849
-409.5166546,343.8232299,534.7132913,2.442192052
-411.8518439,342.5916092,535.7153648,2.446755666
-414.1780422,341.3445338,536.7117862,2.451313711
-416.4951354,340.0820842,537.7025403,2.455866207
-418.8030099,338.8043421,538.687612,2.46041317
-421.1015522,337.5113909,539.6669865,2.464954616
-423.3906496,336.2033156,540.6406492,2.469490559
-425.6701896,334.8802024,541.6085858,2.474021011
-427.9400602,333.5421393,542.5707823,2.478545984
-430.2001498,332.1892157,543.5272246,2.483065485
-432.4503473,330.821523,544.4778994,2.487579521
-434.6905419,329.4391538,545.4227932,2.492088098
-436.9206234,328.0422029,546.3618929,2.496591219
-439.1404819,326.6307665,547.2951859,2.501088885
-441.3500081,325.2049428,548.2226595,2.505581094
-443.5490929,323.7648319,549.1443017,2.510067842
-445.7376278,322.3105357,550.0601006,2.514549125
-447.9155048,320.8421584,550.9700446,2.519024934
-450.0826163,319.3598061,551.8741226,2.523495257
-452.238855,317.8635869,552.7723237,2.527960082
-454.3841143,316.3536114,553.6646375,2.532419392
-456.5182878,314.8299926,554.5510539,2.536873167
-458.6412698,313.2928457,555.4315633,2.541321385
-460.7529548,311.7422886,556.3061566,2.54576402
-462.8532379,310.1784418,557.174825,2.550201043
-464.9420146,308.6014286,558.0375603,2.55463242
-467.0191807,307.0113754,558.8943548,2.559058114
-469.0846327,305.4084115,559.7452014,2.563478085
-471.1382673,303.7926696,560.5900936,2.567892285
-473.1799818,302.1642857,561.4290255,2.572300666
-475.2096736,300.5233997,562.261992,2.57670317
-477.2272409,298.8701551,563.0889886,2.581099736
-479.232582,297.2046999,563.9100117,2.585490298
-481.2255957,295.5271862,564.7250585,2.589874781
-483.2061811,293.8377709,565.5341272,2.594253105
-485.1742377,292.1366161,566.337217,2.598625183
